# Lvl 100,Name,Hull Class,HP,EVA,LUK,Armor,EVA Rate,EVA Stat,DMG Red
165,shigure,DD,1469,184,84,Light,0,0,0
166,yukikaze,DD,1855,186,98,Light,0,0,0
167,kagerou,DD,1571,186,25,Light,0,0,0
168,shiranui,DD,1540,186,25,Light,0,0,0
170,nowaki,DD,1787,185,72,Light,0,0,0
171,hatsuharu,DD,1477,186,45,Light,0,0,0
173,wakaba,DD,1477,186,36,Light,0,0,0
174,hatsushimo,DD,1477,186,51,Light,0,0,0
175,ariake,DD,1477,186,34,Light,0,0,0
176,yuugure,DD,1350,187,32,Light,0,0,0
177,kuroshio,DD,1736,185,34,Light,0,0,0
178,oyashio,DD,1736,185,34,Light,0,0,0
179,yuubari,CL,1910,80,53,Light,0,0,0
182,nagara,CL,2547,80,36,Light,0,0,0
183,isuzu,CL,2844,76,33,Light,0,0,0
187,abukuma,CL,2547,80,43,Light,0,0,0
188,mogami,CL,3547,36,14,Medium,0,0,0
189,mikuma,CL,3547,36,13,Medium,0,0,0
190,furutaka,CA,3043,33,34,Medium,0,0,0
191,kako,CA,3043,33,34,Medium,0,0,0
192,aoba,CA,3108,34,52,Medium,0,0,0
193,kinugasa,CA,3108,34,65,Medium,0,0,0
196,myoukou,CA,4746,36,62,Medium,0,0,0
197,nachi,CA,4746,36,58,Medium,0,0,0
198,ashigara,CA,3783,33,60,Medium,0,0,0
200,takao,CA,3818,33,65,Medium,0,0,0
201,atago,CA,3818,33,48,Medium,0,0,0
202,maya,CA,3818,33,48,Medium,0,0,0
203,choukai,CA,3818,33,50,Medium,0,0,0
204,kongou,BC,5620,20,43,Medium,0,0,0
205,hiei,BC,5620,20,37,Medium,0,0,0
206,haruna,BC,5620,20,47,Medium,0,0,0
207,kirishima,BC,5620,20,37,Medium,0,0,0
208,fusou,BB,5911,13,13,Heavy,0,0,0
209,yamashiro,BB,6246,13,14,Heavy,0,0,0
210,ise,BB,6105,13,60,Heavy,0,0,0
211,hyuuga,BB,6105,13,60,Heavy,0,0,0
212,nagato,BB,6955,18,71,Heavy,0,0,0
213,mutsu,BB,6766,16,34,Heavy,0,0,0
218,hiyou,CVL,4448,49,43,Medium,0,0,0
219,junyou,CVL,4448,49,80,Medium,0,0,0
220,houshou,CVL,3095,47,79,Medium,0,0,0
222,shouhou,CVL,3692,50,24,Medium,0,0,0
223,ryuujou,CVL,3657,61,42,Medium,0,0,0
224,akagi,CV,5830,33,42,Medium,0,0,0
225,kaga,CV,5992,29,42,Medium,0,0,0
226,souryuu,CV,4522,36,36,Medium,0,0,0
227,hiryuu,CV,4714,36,36,Medium,0,0,0
228,shoukaku,CV,5954,36,49,Medium,0,0,0
229,zuikaku,CV,6365,36,73,Medium,0,0,0
230,taihou,CV,6412,34,36,Heavy,0,0,0
232,akashi,AR,3525,20,58,Light,0,0,0
233,z1,DD,1725,143,40,Light,0,0.4,0
236,z23,DD,1786,152,65,Light,0,0,0
237,z25,DD,1778,150,72,Light,0,0,0
238,k�nigsberg,CL,2989,76,42,Light,0,0,0
239,karlsruhe,CL,2989,76,39,Light,0,0,0
240,k�ln,CL,2989,76,62,Light,0,0,0
241,leipzig,CL,3106,76,67,Light,0,0,0
242,admiral hipper,CA,4518,23,66,Medium,0,0,0
244,prinz eugen,CA,5683,24,78,Medium,0,0,0
245,deutschland,CA,3571,18,72,Medium,0,0,0
246,admiral graf spee,CA,3877,18,36,Medium,0,0,0
248,scharnhorst,BC,6415,22,43,Medium,0,0,0
249,gneisenau,BC,6415,22,64,Medium,0,0,0
251,tirpitz,BB,7637,21,45,Heavy,0,0,0
252,graf zeppelin,CV,6808,36,45,Medium,0,0,0
253,an shan,DD,1897,159,81,Light,0,0.1,0
254,fu shun,DD,1897,159,51,Light,0,0,0
255,chang chun,DD,1897,159,61,Light,0,0,0
256,tai yuan,DD,1897,159,71,Light,0,0,0
257,yat sen,CL,1698,62,64,Light,0,0,0
258,ning hai,CL,1786,67,51,Light,0,0,0
259,ping hai,CL,1757,64,47,Light,0,0,0
262,avrora,CL,3024,62,55,Medium,0,0,0
263,bailey,DD,1521,156,70,Light,0,0,0
264,z19,DD,1708,143,39,Light,0,0,0
265,z20,DD,1675,143,71,Light,0,0,0
266,z21,DD,1675,143,42,Light,0,0,0
267,z46,DD,2237,146,63,Light,0,0,0
269,kamikaze,DD,1301,187,86,Light,0,0,0
270,matsukaze,DD,1301,184,45,Light,0,0,0
271,mutsuki,DD,1239,187,35,Light,0,0,0
272,kisaragi,DD,1239,187,15,Light,0,0,0
274,uzuki,DD,1239,187,37,Light,0,0,0
276,minazuki,DD,1239,187,45,Light,0,0,0
277,fumizuki,DD,1263,187,27,Light,0,0,0
278,nagatsuki,DD,,,35,Light,0,0,0
280,mikazuki,DD,1239,187,40,Light,0,0,0
288,kawakaze,DD,1525,184,38,Light,0,0,0
295,niizuki,DD,2037,174,32,Light,0,0,0
296,harutsuki,DD,2037,174,61,Light,0,0,0
297,yoizuki,DD,2037,174,61,Light,0,0,0
299,radford,DD,1712,157,80,Light,0,0,0
300,jenkins,DD,1733,156,81,Light,0,0,0
301,nicholas,DD,1762,154,80,Light,0,0,0
303,richmond,CL,2865,79,69,Light,0,0,0
304,honolulu,CL,3076,73,50,Light,0,0,0
305,st. louis,CL,3204,73,65,Light,0,0.18,0
306,jupiter,DD,1280,204,52,Light,0,0,0
307,jersey,DD,1280,204,20,Light,0,0,0
308,sendai,CL,2243,75,42,Light,0,0,0
309,jintsuu,CL,2310,75,38,Light,0,0,0
310,naka,CL,2243,75,53,Light,0,0,0
316,urakaze,DD,1736,185,27,Light,0,0,0
317,isokaze,DD,1736,185,18,Light,0,0,0
318,hamakaze,DD,1736,185,58,Light,0,0,0
319,tanikaze,DD,1736,185,52,Light,0,0,0
320,mikasa,BB,4572,8,95,Heavy,0,0,0
321,agano,CL,2791,76,21,Light,0,0,0
325,matchless,DD,1402,204,76,Light,0,0,0
326,musketeer,DD,1402,204,67,Light,0,0,0
327,fiji,CL,3188,76,11,Light,0,0,0.021
328,jamaica,CL,3232,76,67,Light,0,0,0
329,montpelier,CL,3929,77,72,Light,0,0,0
330,denver,CL,3880,77,69,Light,0,0,0
331,asashio,DD,1614,185,32,Light,0,0,0
332,ooshio,DD,1614,185,40,Light,0,0,0
333,michishio,DD,1636,185,48,Light,0,0,0
334,arashio,DD,,,32,Light,0,0,0
335,belchan,CL,2885,72,89,Light,0,0,0
336,abercrombie,BM,3148,29,38,Light,0,0,0
337,sussex,CL,3049,22,68,Light,0,0,0
338,i-19,SS,1805,25,19,Light,0,0,0
338,i-26,SS,1723,25,26,Light,0,0,0
340,i-58,SS,1733,18,58,Light,0,0,0
341,u-81,SS,1091,18,23,Light,0,0.4,0
342,dace,SS,1410,22,68,Light,0,0,0
343,u-47,SS,1081,18,32,Light,0,0,0
344,u-557,SS,1051,18,18,Light,0,0,0
345,z35,DD,1758,153,35,Light,0,0,0
346,z18,DD,1708,143,38,Light,0,0,0
347,le triomphant,DD,1684,206,77,Light,0,0,0
348,forbin,DD,1147,193,69,Light,0,0,0
349,emile bertin,CL,2831,78,67,Light,0,0,0
350,surcouf,SS,2349,20,60,Light,0,0,0
351,le mars,DD,1147,193,24,Light,0,0,0
352,dunkerque,BC,5827,22,35,Medium,0,0,0
353,jean bart,BB,6897,23,17,Heavy,0,0,0
354,massachusetts,BB,6738,18,82,Heavy,0,0,0
355,bush,DD,1712,154,34,Light,0,0,0
356,centaur,CVL,5712,50,73,Medium,0,0,0
357,essex,CV,5730,34,90,Medium,0,0,0
358,albacore,SS,1603,22,79,Light,0,0,0
359,le temeraire,DD,1309,182,41,Light,0,0,0
360,memphis,CL,,,67,Light,0,0,0
361,newcastle,CL,3293,76,78,Light,0,0,0
362,hobby,DD,1521,157,68,Light,0,0,0
363,kalk,DD,1521,157,75,Light,0,0,0
364,minneapolis,CA,3707,24,76,Medium,0,0,0
365,hazelwood,DD,1712,154,75,Light,0,0,0
366,concord,CL,,,67,Light,0,0,0
367,amagi,BC,6514,24,23,Medium,0.1,0,0
368,kaga (battleship),BB,7115,20,42,Heavy,0,0,0
369,hatakaze,DD,1301,187,87,Light,0,0,0
370,makinami,DD,1798,185,40,Light,0,0,0
371,sirius,CL,3343,73,70,Light,0,0,0
372,curacoa,CL,2638,68,24,Light,0,0,0
373,curlew,CL,2468,68,45,Light,0,0,0
374,kimberly,DD,1712,154,77,Light,0,0,0
375,mullany,DD,1762,154,89,Light,0,0,0
376,chaser,CVL,4023,39,82,Medium,0,0,0
377,independence,CVL,4135,54,78,Medium,0,0,0
378,shangri-la,CV,5730,34,83,Medium,0,0,0
379,z2,DD,1725,143,44,Light,0,0,0
380,bunker hill,CV,5698,34,35,Medium,0,0,0
381,i-13,SSV,2214,18,20,Light,0,0,0
382,suzuya,CA,3712,34,15,Medium,0,0,0
3005,cassin kai,DD,1611,181,66,Light,0,0,0
3006,downes kai,DD,1611,181,63,Light,0,0,0
3019,laffey kai,DD,1815,197,18,Light,0,0,0
3026,sims kai,DD,1723,154,45,Light,0,0,0
3027,hammann kai,DD,1723,154,47,Light,0,0,0
3036,san diego kai,CL,3578,73,85,Light,0,0,0
3044,portland kai,CA,4866,45,78,Medium,0,0,0
3052,nevada kai,BB,6200,11,75,Heavy,0,0,0
3053,oklahoma kai,BB,6200,11,38,Heavy,0,0,0
3070,long island kai,CVL,4254,39,68,Medium,0,0,0
3071,bogue kai,CVL,3589,39,78,Medium,0,0,0
3072,langley kai,CVL,4085,38,32,Medium,0,0,0
3074,saratoga kai,CV,6326,34,66,Medium,0,0,0
3075,ranger kai,CVL,4360,49,71,Medium,0,0,0
3082,acasta kai,DD,1307,238,43,Light,0,0,0
3083,ardent kai,DD,1307,238,35,Light,0,0,0
3088,comet kai,DD,1298,239,54,Light,0,0,0
3089,crescent kai,DD,1298,234,35,Light,0,0,0
3090,cygnet kai,DD,1298,249,72,Light,0,0,0
3091,foxhound kai,DD,1309,243,68,Light,0,0,0
3092,fortune kai,DD,1333,243,68,Light,0,0,0
3101,javelin kai,DD,1482,244,65,Light,0,0,0
3104,leander kai,CL,3126,77,44,Light,0,0,0
3105,achilles kai,CL,2872,73,54,Light,0,0,0
3106,ajax kai,CL,2872,73,74,Light,0,0,0
3122,suffolk kai,CA,3354,21,72,Light,0,0,0
3125,york kai,CA,3493,43,15,Medium,0,0,0
3126,exeter kai,CA,3519,23,49,Medium,0,0,0
3131,warspite kai,BB,6950,15,90,Heavy,0,0,0
3155,ayanami kai,DD,1663,208,36,Light,0,0,0
3167,kagerou kai,DD,1736,186,25,Light,0,0,0
3168,shiranui kai,DD,1600,206,25,Light,0,0,0
3179,yuubari kai,CL,2177,105,53,Light,0,0,0
3187,abukuma kai,DD,2787,80,43,Light,0,0,0
3188,mogami kai,CA,4141,34,14,Medium,0,0,0
3190,furutaka kai,CA,3323,33,34,Medium,0,0,0
3191,kako kai,CA,3323,33,34,Medium,0,0,0
3208,fusou kai,BB,6261,13,13,Heavy,0,0,0
3209,yamashiro kai,BB,6596,13,14,Heavy,0,0,0
3210,ise kai,BB,6205,13,60,Heavy,0,0,0
3211,hyuuga kai,BB,6205,13,60,Heavy,0,0,0
3222,shouhou kai,CVL,3932,50,24,Medium,0,0,0
3226,souryuu kai,CV,5246,56,36,Medium,0,0,0
3227,hiryuu kai,CV,5468,56,36,Medium,0,0,0
3236,z23 kai,DD,1951,157,65,Light,0,0,0
3239,karlsruhe kai,CL,3229,76,39,Light,0,0,0
3258,ning hai kai,CL,1996,102,51,Light,0,0,0
3259,ping hai kai,CL,1967,99,47,Light,0,0,0
3263,bailey kai,DD,1731,156,70,Light,0,0,0
3269,kamikaze kai,DD,1466,187,86,Light,0,0,0
3270,matsukaze kai,DD,1466,184,45,Light,0,0,0.18
3271,mutsuki kai,DD,1404,187,35,Light,0,0,0
3301,nicholas kai,DD,1927,154,80,Light,0,0,0
3308,sendai kai,CL,2483,75,42,Light,0,0,0
3309,jintsuu kai,CL,2550,75,38,Light,0,0,0.2
3318,hamakaze kai,DD,1796,205,58,Light,0,0,0.18
3319,tanikaze kai,DD,1796,205,52,Light,0,0,0
3348,forbin kai,DD,1207,193,69,Light,0,0,0.18
3351,le mars kai,DD,1207,193,24,Light,0,0,0.18
3361,newcastle kai,CL,3533,76,78,Light,0,0,0
C001,noire,CL,3387,30,73,Light,0,0,0
C001,hdn neptune,CA,3041,73,83,Medium,0,0,0
C003,blanc,DD,1513,169,71,Light,0,0,0
C004,vert,CV,4802,34,93,Medium,0,0,0
C005,purple heart,CL,3293,76,87,Light,0,0,0
C006,black heart,CA,3610,33,83,Medium,0,0,0
C007,white heart,DD,1622,171,73,Light,0,0,0
C008,green heart,CV,5027,36,95,Medium,0,0,0
C031,kuon,CA,3662,28,90,Medium,0,0,0
C032,nekone,DD,1617,183,52,Light,0,0,0
C033,rurutie,CL,3618,80,66,Light,0,0,0
C034,uruuru,CVL,3727,49,77,Light,0,0,0
C035,saraana,CVL,3727,49,77,Light,0,0,0
C036,fumiruiru,CV,4458,33,82,Medium,0,0,0
P001,hms neptune,CL,4215,73,0,Light,0,0,0
P002,monarch,BB,6897,18,0,Heavy,0,0,0
P003,ibuki,CA,4260,41,0,Medium,0,0,0
P004,izumo,BB,7356,18,0,Heavy,0,0,0
P005,roon,CA,5382,39,0,Medium,0,0,0
P006,saint louis,CA,4876,42,0,Medium,0,0,0
P007,seattle,CL,,,0,Light,0,0,0
P008,georgia,BB,,,0,Heavy,0,0,0
P009,kitakaze,DD,,,0,Light,0,0,0
P010,azuma,CB,,,0,Medium,0,0,0
P011,friedrich der grosse,BB,,,0,Heavy,0,0,0
P012,gascogne,BB,,,0,Heavy,0,0,0
